,entry,exit,profit,draw_down,run_up
138,59.39,59.1,-0.4882976932143457,59.1,63.4
139,62.38,62.07,-0.4969541519717846,62.07,62.49
140,63.43,63.2,-0.3626044458458044,63.2,63.43
141,63.67,63.47,-0.3141196795979351,63.47,63.98
142,64.66,64.02,-0.989792762140429,64.02,64.78
143,64.02,63.73,-0.4529834426741597,63.73,64.02
144,64.2,64.66,0.7165109034267925,64.2,69.4
145,54.93,54.22,-1.2925541598397983,54.22,55.74
146,55.21,56.15,1.7025901104872343,55.11,58.47
147,54.36,54.19,-0.31272994849154134,54.19,54.86
148,54.85,57.63,5.068368277119428,54.85,63.66
149,59.8,58.98,-1.3712374581939857,58.98,59.8
150,61.16,60.71,-0.7357750163505483,60.71,64.86
151,61.42,61.23,-0.3093454900683912,61.23,61.94
152,61.84,61.42,-0.6791720569210846,61.42,61.84
153,58.81,58.5,-0.5271212378847201,58.5,59.27
154,59.07,58.85,-0.3724394785847296,58.85,59.07
155,59.11,58.29,-1.3872441211300934,58.29,59.11
156,59.64,59.27,-0.6203890006706847,59.27,59.64
157,59.61,59.4,-0.3522898842476141,59.4,59.61
158,59.26,58.99,-0.45561930475868095,58.99,60.03
159,54.33,54.1,-0.4233388551444839,54.1,54.33
160,55.89,55.53,-0.6441223832528209,55.53,60.64
161,56.95,56.71,-0.42142230026339655,56.71,56.95
162,56.71,56.3,-0.7229765473461547,56.3,57.0
163,54.39,54.13,-0.4780290494576178,54.13,54.39
164,53.1,52.92,-0.3389830508474523,52.92,53.1
165,50.23,50.0,-0.457893689030453,50.0,50.23
166,50.22,53.79,7.108721624850656,50.22,56.84
167,32.39,32.19,-0.6174745291756767,32.19,32.39
168,30.67,32.12,4.727746984023451,30.67,35.98
169,34.72,34.58,-0.40322580645161255,34.58,34.91
170,34.35,33.88,-1.3682678311499274,33.88,34.35
171,24.65,24.43,-0.8924949290060824,24.43,24.65
172,25.96,25.76,-0.7704160246533087,25.76,26.19
173,25.76,25.63,-0.5046583850931818,25.63,25.76
174,25.63,25.54,-0.351150994927818,25.54,25.96
175,25.54,34.8,36.25685199686765,25.49,34.8
176,34.8,34.42,-1.091954022988495,34.42,35.83
177,35.47,34.2,-3.5804905553989186,34.2,35.65
178,30.92,31.01,0.2910737386804696,30.92,32.4
179,32.13,31.93,-0.62247121070651,31.93,32.5
180,32.12,30.28,-5.72851805728517,30.28,32.12
181,31.46,31.34,-0.381436745073116,31.34,31.46
182,31.66,31.55,-0.3474415666456121,31.55,31.66
183,31.55,31.3,-0.7923930269413626,31.3,31.55
184,32.05,31.93,-0.37441497659905787,31.93,32.36
185,32.21,32.1,-0.34150884818379135,32.1,33.04
186,31.69,31.53,-0.5048911328494832,31.53,32.33
187,34.0,33.71,-0.8529411764705896,33.71,34.0
188,33.71,35.44,5.132008306140601,33.71,40.31
189,32.01,31.74,-0.8434864104967188,31.74,32.01
190,31.74,31.48,-0.8191556395715116,31.48,32.09
191,31.24,31.11,-0.41613316261203126,31.11,31.61
192,31.16,31.0,-0.5134788189987138,31.0,31.16
193,31.17,30.73,-1.4116137311517507,30.73,32.9
194,31.02,30.92,-0.3223726627981871,30.92,31.1
195,31.75,31.64,-0.3464566929133883,31.64,32.13
196,31.98,31.84,-0.43777360850532077,31.84,31.98
197,31.71,31.39,-1.0091453800063044,31.39,33.65
198,31.67,31.35,-1.0104199557941285,31.35,32.2
199,31.69,31.58,-0.34711265383402523,31.58,31.69
200,31.58,32.93,4.274857504749852,31.58,34.59
201,34.21,46.93,37.18211049400759,34.21,46.93
202,46.93,46.38,-1.1719582356701452,46.38,46.93
203,46.38,46.21,-0.36653730056058764,46.21,47.24
204,46.21,44.88,-2.8781648993724263,44.88,46.96
205,43.56,43.32,-0.5509641873278293,43.32,43.56
206,43.32,42.97,-0.8079409048938113,42.97,44.61
207,43.82,48.56,10.816978548607947,43.82,52.0
208,50.81,45.19,-11.060814800236185,45.19,53.35
209,45.24,44.6,-1.4146772767462457,44.6,45.24
210,46.13,45.96,-0.36852373726425913,45.96,46.13
211,46.11,46.12,0.02168726957274547,46.11,48.99
212,47.66,56.43,18.401174989509038,47.66,58.78
213,56.2,55.93,-0.4804270462633542,55.93,56.2
214,57.03,58.99,3.436787655619855,57.03,62.15
215,60.61,60.42,-0.31347962382445305,60.42,61.38
216,60.72,60.31,-0.6752305665349123,60.31,60.89
217,60.23,59.86,-0.6143118047484575,59.86,60.23
218,59.86,60.15,0.484463748747066,59.86,61.53
219,64.96,64.74,-0.3386699507389124,64.74,64.96
220,64.74,64.5,-0.3707136237256603,64.5,64.74
221,64.5,92.97,44.139534883720934,64.5,92.97
222,92.97,91.0,-2.118963106378402,91.0,96.38
223,91.0,83.94,-7.758241758241757,83.94,92.5
224,88.12,87.82,-0.34044484793465113,87.82,88.12
225,87.82,87.07,-0.8540195855158306,87.07,87.82
226,87.75,87.45,-0.34188034188034067,87.45,87.75
227,87.81,87.48,-0.3758114110010258,87.48,89.36
228,88.28,87.73,-0.6230176710466662,87.73,88.43
229,88.97,87.96,-1.135214117118133,87.96,88.97
230,88.43,87.88,-0.6219608730069104,87.88,96.03
231,82.25,81.01,-1.5075987841945193,81.01,83.84
232,80.56,80.18,-0.4716981132075415,80.18,80.6
233,80.28,79.66,-0.772296960637775,79.66,80.89
234,82.0,81.68,-0.39024390243901363,81.68,82.86
235,81.96,81.5,-0.5612493899463056,81.5,82.75
236,81.49,81.15,-0.41722910786597955,81.15,81.49
237,72.49,72.0,-0.675955304179876,72.0,72.49
238,74.0,73.72,-0.3783783783783745,73.72,74.0
239,74.26,73.68,-0.7810395906275192,73.68,74.26
240,73.76,73.49,-0.3660520607375428,73.49,74.15
241,74.73,74.46,-0.3613006824568554,74.46,75.04
242,74.46,74.07,-0.5237711522965371,74.07,75.25
243,79.6,78.85,-0.9422110552763874,78.85,79.6
244,78.85,78.27,-0.7355738744451501,78.27,80.09
245,78.62,78.27,-0.445179343678459,78.27,82.3
246,78.24,77.91,-0.4217791411042948,77.91,78.24
247,77.15,76.64,-0.6610499027867811,76.64,77.5
248,76.32,104.66,37.133123689727476,76.15,104.66
249,104.66,103.9,-0.7261609019682647,103.9,104.66
250,103.9,101.05,-2.7430221366698815,101.05,106.2
251,95.35,94.76,-0.6187729417933774,94.76,95.35
252,94.76,92.37,-2.5221612494723544,92.37,96.14
253,91.91,91.09,-0.8921771298008863,91.09,92.23
254,92.49,105.07,13.601470429235585,92.49,119.03
255,116.12,115.14,-0.8439545297967643,115.14,116.12
256,114.25,113.47,-0.6827133479212266,113.47,114.25
257,115.17,114.49,-0.5904315359902768,114.49,115.77
258,114.89,114.18,-0.6179824179650018,114.18,115.86
259,115.59,115.14,-0.38930703348041273,115.14,115.59
260,115.14,114.16,-0.8511377453534807,114.16,115.14
261,104.97,129.46,23.33047537391637,104.97,141.94
262,137.68,135.41,-1.6487507263219126,135.41,137.68
263,136.59,136.07,-0.3807013690606986,136.07,136.59
264,138.86,136.52,-1.6851505113063547,136.52,138.86
265,136.14,136.24,0.0734537975613403,136.01,140.07
266,141.2,140.39,-0.5736543909348413,140.39,141.85
267,141.38,140.02,-0.9619465270900962,140.02,141.38
268,142.22,140.71,-1.0617353396146778,140.71,145.42
269,143.54,142.35,-0.8290372021736103,142.35,143.54
270,126.03,122.75,-2.602554947234781,122.75,135.8
271,121.21,119.41,-1.4850259879547911,119.41,125.25
272,120.44,119.91,-0.4400531384921913,119.91,120.44
273,120.41,118.22,-1.8187858151316294,118.22,123.95
274,89.8,88.27,-1.7037861915367492,88.27,93.0
275,96.64,96.29,-0.36216887417217514,96.29,102.15
276,98.49,98.01,-0.4873591227535723,98.01,98.49
277,98.73,97.86,-0.8811911273169271,97.86,98.73
278,98.79,98.24,-0.5567365117926992,98.24,100.1
279,100.09,98.66,-1.4287141572584705,98.66,104.76
280,99.7,99.24,-0.46138415245737807,99.24,100.1
281,95.95,92.62,-3.4705575820739964,92.62,97.09
282,93.56,92.84,-0.7695596408721639,92.84,93.56
283,93.64,93.17,-0.5019222554463854,93.17,93.64
284,93.88,93.39,-0.521942905837236,93.39,95.35
285,90.39,90.05,-0.37614780396061365,90.05,90.64
286,91.79,91.23,-0.610088244906859,91.23,91.79
287,91.23,90.77,-0.5042201030362903,90.77,91.62
288,91.32,90.83,-0.5365746824353868,90.83,91.32
289,91.57,93.0,1.561646827563612,91.57,99.77
290,96.14,95.83,-0.3224464322862497,95.83,96.14
291,96.26,95.78,-0.49864949096197764,95.78,96.26
292,103.39,101.6,-1.7313086371989583,101.6,103.39
293,101.6,100.51,-1.072834645669285,100.51,102.18
294,98.22,97.85,-0.3767053553247912,97.85,98.22
295,90.41,89.69,-0.7963720827342091,89.69,91.07
296,90.41,89.86,-0.608339785421963,89.86,90.41
297,86.39,85.76,-0.7292510707257782,85.76,86.45
298,75.89,75.59,-0.3953089998682269,75.59,78.52
299,74.71,74.24,-0.6290991835095738,74.24,75.56
300,64.78,64.57,-0.324174127817245,64.57,64.91
301,64.82,64.55,-0.4165381055229789,64.55,64.82
302,64.93,65.36,0.6622516556291203,64.93,70.53
303,67.77,67.3,-0.6935222074664238,67.3,67.77
304,67.01,66.61,-0.5969258319653892,66.61,67.01
305,67.88,69.12,1.8267530936947773,67.88,72.57
306,70.18,69.96,-0.31347962382447525,69.96,71.24
307,71.03,70.75,-0.3941996339574816,70.75,71.68
308,71.52,75.08,4.977628635346765,71.52,79.97
309,56.64,56.38,-0.4590395480225995,56.38,56.65
310,56.71,55.82,-1.5693881149709044,55.82,56.71
311,56.38,56.0,-0.6739978715856743,56.0,56.38
312,56.29,55.93,-0.6395452122934797,55.93,56.29
313,56.49,56.27,-0.3894494600814258,56.27,56.49
314,56.31,56.08,-0.40845320546972763,56.08,56.31
315,56.24,55.99,-0.44452347083926425,55.99,56.24
316,56.37,56.15,-0.3902785169416334,56.15,56.73
317,56.8,56.56,-0.42253521126759397,56.56,57.12
318,57.33,56.9,-0.750043607186468,56.9,57.33
319,56.94,56.37,-1.001053740779767,56.37,56.94
320,56.74,56.35,-0.6873457878040168,56.35,56.74
321,58.24,58.04,-0.3434065934066033,58.04,58.39
322,58.04,57.72,-0.5513439007580945,57.72,58.04
323,57.34,57.07,-0.47087547959540066,57.07,59.6
324,58.15,56.32,-3.1470335339638833,56.32,58.15
325,57.24,57.02,-0.38434661076169885,57.02,57.36
326,56.98,56.72,-0.45630045630045135,56.72,56.98
327,57.15,56.96,-0.33245844269466085,56.96,57.15
328,55.03,54.81,-0.3997819371251987,54.81,55.03
329,54.81,54.61,-0.3648969166210603,54.61,54.81
330,54.59,54.3,-0.5312328265250188,54.3,55.15
331,54.88,54.27,-1.111516034985427,54.27,55.39
332,54.86,54.64,-0.4010207801676935,54.64,54.93
333,54.93,54.72,-0.38230475150191623,54.72,54.93
334,51.78,57.87,11.761297798377734,51.78,62.12
335,58.48,58.29,-0.32489740082078944,58.29,58.6
336,58.29,58.04,-0.4288900325956413,58.04,58.41
337,60.34,61.39,1.740139211136893,60.21,64.11
338,62.01,61.72,-0.4676665054023532,61.72,64.8
339,59.47,59.27,-0.3363040188330224,59.27,59.47
340,59.38,59.18,-0.3368137420006745,59.18,59.75
341,46.87,46.71,-0.34136974610624593,46.71,47.07
342,47.08,46.91,-0.36108751062022826,46.91,47.09
343,47.03,46.77,-0.5528386136508523,46.77,47.03
344,46.77,46.31,-0.9835364549925174,46.31,49.09
345,46.2,45.93,-0.5844155844155874,45.93,46.27
346,45.79,45.55,-0.5241319065298122,45.55,45.79
347,45.52,45.2,-0.702987697715296,45.2,45.95
348,44.39,44.23,-0.3604415408875905,44.23,44.48
349,43.69,43.5,-0.4348821240558465,43.5,43.86
350,40.49,40.14,-0.8644109656705368,40.14,41.39
351,40.0,39.82,-0.44999999999999485,39.82,40.28
352,40.09,39.92,-0.42404589673236126,39.92,42.44
353,40.87,40.7,-0.41595302177634963,40.7,41.47
354,40.86,40.68,-0.4405286343612369,40.68,41.05
355,41.03,40.89,-0.3412137460394815,40.89,41.03
356,41.27,42.29,2.4715289556578535,41.27,44.08
357,41.81,41.61,-0.47835446065535026,41.61,41.89
358,42.56,42.41,-0.352443609022568,42.41,42.86
359,42.51,42.35,-0.37638202775817087,42.35,42.51
360,42.49,42.22,-0.6354436337961955,42.22,42.57
361,42.62,42.48,-0.3284842796809073,42.48,42.77
362,42.78,44.2,3.319308087891537,42.76,48.37
363,46.24,46.06,-0.38927335640138727,46.06,46.24
364,46.84,58.32,24.50896669513236,46.84,60.3
365,61.43,60.77,-1.0743936187530445,60.77,62.85
366,61.67,61.02,-1.0539970812388444,61.02,62.09
