,entry,exit,profit,draw_down,run_up,draw_down_percent,run_up_percent
48,57.74,56.55,-2.0609629373051663,56.03,58.16,-2.9615517838586736,0.7273986837547541
49,59.39,59.37,-0.033675702980306976,58.95,63.4,-0.740865465566587,6.751978447550089
50,63.98,64.66,1.062832135042191,63.47,69.4,-0.7971241012816432,8.471397311659912
51,55.09,54.71,-0.6897803594118734,54.71,56.24,-0.6897803594118734,2.0874931929569795
52,53.9,53.32,-1.0760667903525034,53.32,54.61,-1.0760667903525034,1.3172541743970312
53,53.72,56.14,4.5048399106478065,53.04,58.47,-1.2658227848101222,8.842144452717804
54,54.05,62.1,14.893617021276606,53.44,62.1,-1.128584643848285,14.893617021276606
55,58.52,61.18,4.545454545454541,56.8,64.86,-2.9391660970608413,10.833902939166084
56,58.37,57.27,-1.8845297241733672,57.27,59.27,-1.8845297241733672,1.5418879561418741
57,59.64,57.98,-2.7833668678739154,57.56,60.03,-3.4875922199865794,0.653923541247492
58,53.83,52.78,-1.950585175552666,52.44,54.33,-2.5822032323982946,0.9288500835965108
59,55.89,54.88,-1.8071211307926216,54.48,60.64,-2.522812667740215,8.498837001252468
60,54.2,53.54,-1.217712177121777,53.36,54.39,-1.5498154981549828,0.35055350553505615
61,53.05,52.83,-0.41470311027332896,52.75,53.1,-0.5655042412818001,0.09425070688031667
62,49.97,53.74,7.544526716029631,49.84,56.84,-0.2601560936561831,13.748248949369636
63,32.39,31.59,-2.4698981167026846,31.16,32.63,-3.797468354430378,0.7409694350108076
64,30.09,34.9,15.985377201728145,29.58,34.9,-1.6949152542372947,15.985377201728145
65,34.72,33.97,-2.1601382488479315,33.97,34.91,-2.1601382488479315,0.5472350230414591
66,33.89,30.85,-8.970197698436111,30.49,34.35,-10.032457952198293,1.3573325464738994
67,25.46,24.12,-5.263157894736836,23.86,25.46,-6.284367635506682,0.0
68,23.96,22.95,-4.2153589315525934,22.95,24.1,-4.2153589315525934,0.5843071786310494
69,25.96,29.78,14.714946070878266,25.49,29.78,-1.8104776579352944,14.714946070878266
70,29.07,30.61,5.297557619539051,28.4,32.5,-2.3047815617475154,11.799105607155136
71,32.05,31.22,-2.5897035881435215,30.77,33.04,-3.9937597503900135,3.08892355694228
72,32.69,37.39,14.377485469562568,32.69,37.39,0.0,14.377485469562568
73,32.01,31.61,-1.249609497032178,31.48,32.09,-1.6557325835676262,0.2499218994064467
74,31.66,31.09,-1.8003790271636122,30.26,31.68,-4.421983575489574,0.06317119393557391
75,30.93,30.59,-1.0992563853863602,30.3,32.9,-2.0368574199805978,6.369220821209187
76,31.51,32.24,2.3167248492542036,31.08,33.65,-1.3646461440812496,6.7914947635671075
