,entry,exit,profit,draw_down,run_up,draw_down_percent,run_up_percent
37,201.1,199.4,-0.8453505718547971,199.4,202.55,-0.8453505718547971,0.7210343112879158
38,195.5,195.05,-0.23017902813298186,195.05,195.5,-0.23017902813298186,0.0
39,197.35,196.5,-0.43070686597415087,196.2,197.35,-0.5827210539650407,0.0
40,196.75,210.9,7.1918678526048385,196.65,222.0,-0.050825921219821435,12.833545108005072
41,210.5,209.4,-0.5225653206650804,209.4,210.5,-0.5225653206650804,0.0
42,211.2,210.65,-0.26041666666666297,210.65,211.75,-0.26041666666666297,0.26041666666667407
43,209.5,210.3,0.38186157517901,207.6,211.4,-0.9069212410501182,0.9069212410501182
44,174.1,173.75,-0.20103388856977933,173.75,175.15,-0.20103388856977933,0.6031016657093602
45,177.9,174.05,-2.164137155705448,174.05,177.9,-2.164137155705448,0.0
46,125.0,122.4,-2.079999999999993,122.4,125.0,-2.079999999999993,0.0
47,113.1,112.55,-0.4862953138815129,112.55,117.0,-0.4862953138815129,3.4482758620689724
48,116.15,113.25,-2.49677141627207,113.25,116.15,-2.49677141627207,0.0
49,108.85,110.75,1.7455213596692776,108.65,123.9,-0.18373909049149706,13.826366559485548
50,116.0,116.55,0.47413793103447954,116.0,118.55,0.0,2.1982758620689546
51,115.2,112.0,-2.777777777777779,112.0,116.65,-2.777777777777779,1.258680555555558
52,111.0,109.95,-0.9459459459459474,109.85,111.0,-1.0360360360360366,0.0
53,94.9,90.95,-4.162276080084304,90.95,96.85,-4.162276080084304,2.054794520547931
54,90.7,88.25,-2.7012127894156635,88.25,96.35,-2.7012127894156635,6.229327453142219
55,88.7,89.25,0.6200676437429609,88.45,90.45,-0.2818489289740711,1.9729425028184977
56,88.15,84.3,-4.3675553034600245,84.3,89.95,-4.3675553034600245,2.041973908111161
57,85.3,85.1,-0.23446658851113966,84.85,86.3,-0.5275498241500642,1.172332942555676
58,83.6,82.85,-0.8971291866028741,82.85,83.6,-0.8971291866028741,0.0
59,86.25,84.95,-1.5072463768115885,84.95,86.25,-1.5072463768115885,0.0
60,85.35,115.5,35.32513181019332,83.7,115.5,-1.9332161687170335,35.32513181019332
61,135.5,130.9,-3.394833948339482,130.9,135.5,-3.394833948339482,0.0
62,127.85,131.25,2.659366445052802,127.85,144.45,0.0,12.983965584669521
63,134.4,133.5,-0.6696428571428603,133.5,134.8,-0.6696428571428603,0.29761904761904656
64,136.0,155.35,14.227941176470594,136.0,160.25,0.0,17.830882352941167
65,151.25,149.9,-0.8925619834710741,149.9,152.65,-0.8925619834710741,0.9256198347107558
66,152.3,151.0,-0.8535784635587684,151.0,152.3,-0.8535784635587684,0.0
67,128.45,127.75,-0.5449591280653809,127.05,130.15,-1.089918256130784,1.3234721681588235
68,126.35,118.4,-6.292045904234255,118.4,128.95,-6.292045904234255,2.0577760189948613
69,120.95,122.15,0.9921455146754798,119.55,125.05,-1.1575031004547376,3.3898305084745672
70,124.95,123.5,-1.1604641856742703,123.5,124.95,-1.1604641856742703,0.0
71,124.25,119.45,-3.8631790744466765,119.45,124.3,-3.8631790744466765,0.04024144869214652
72,117.75,117.35,-0.3397027600849256,117.35,117.75,-0.3397027600849256,0.0
73,117.8,118.1,0.2546689303905003,117.75,118.85,-0.04244482173174635,0.8913412563667178
